医療機関名称,郵便番号,住所
城西内科クリニック,352-0035,埼玉県新座市栗原５－６－２６
医療法人社団ナイズ　キャップスクリニック志木,353-0004,埼玉県志木市本町５－２６－１マルイファミリー志木７階
医療法人秀志会　たなか整形外科クリニック,353-0005,埼玉県志木市幸町４－３－１８
武田耳鼻咽喉科,354-0018,埼玉県富士見市西みずほ台１－１９－５
イムス富士見総合病院,354-0021,埼玉県富士見市鶴馬１９６７－１
医療法人社団かいしん会　ますなが医院,354-0031,埼玉県富士見市勝瀬７３９－１
医療法人社団　白鴎会　ふじみ野内科クリニック,354-0035,埼玉県富士見市ふじみ野西１－１－１アイムプラザ２階
つるせ整形外科,354-0041,埼玉県入間郡三芳町藤久保２０１－１１
医療法人社団侑芯会　きらり・ヘルスケアクリニック,354-8560,埼玉県富士見市山室１－１３１３ららぽーと富士見１階
東松山宏仁クリニック,355-0016,埼玉県東松山市材木町１２－５
宏仁会　高坂醫院,355-0062,埼玉県東松山市西本宿１７５９－１
公益財団法人　埼玉県健康づくり事業団,355-0133,埼玉県比企郡吉見町江和井４１０－１
医療法人社団　宏仁会小川病院,355-0317,埼玉県比企郡小川町原川２０５
医療法人平善会　大野クリニック,355-0321,埼玉県比企郡小川町小川４９１
大熊医院,356-0004,埼玉県ふじみ野市上福岡３－１－１７
叶澤メディカルクリニック,356-0011,埼玉県ふじみ野市福岡２－１－６イオンタウンふじみ野３Ｆクリニックモール
しまだ医院,356-0041,埼玉県ふじみ野市鶴ケ舞１－３－９
叶澤医院,356-0043,埼玉県ふじみ野市緑ケ丘２－１１－１
医療法人社団　峻嶺会　松澤クリニック,356-0050,埼玉県ふじみ野市ふじみ野３－９－２０
しみず整形外科クリニック,356-0051,埼玉県ふじみ野市亀久保１２４３－７
医療法人社団堅江会　はたクリニック,356-0053,埼玉県ふじみ野市大井２－１０－１１
内科・胃腸科佐野医院,357-0033,埼玉県飯能市八幡町６－１
澤田医院,358-0011,埼玉県入間市下藤沢２－２２－１３
段塚クリニック,358-0011,埼玉県入間市下藤沢３－１－１
医療法人一晃会　小林病院,358-0014,埼玉県入間市宮寺２４１７
入間ひだまりクリニック,358-0023,埼玉県入間市扇台３－５－１５
小川耳鼻咽喉科気管食道科医院,358-0054,埼玉県入間市野田４３５－１
医療法人社団　明雄会　北所沢病院,359-0001,埼玉県所沢市下富１２７０－９
医療法人社団　ナイズ　キャップスクリニック　所沢,359-0038,埼玉県所沢市北秋津５９２ソコラ所沢２Ｆ
新所沢ひろ内科,359-0044,埼玉県所沢市松葉町２４－３
マツバクリニック,359-0044,埼玉県所沢市松葉町８－７
医療法人社団　康佑会　新所沢整形外科内科,359-1111,埼玉県所沢市緑町２－１４－３
さいとう内科クリニック,359-1141,埼玉県所沢市小手指４－１７－３
はなみずき小手指クリニック,359-1141,埼玉県所沢市小手指町１－１６－４
医療法人社団　波多野医院,359-1141,埼玉県所沢市小手指町１－４３－５
彩のクリニック,359-1141,埼玉県所沢市小手指町４－１－１
きたはたファミリークリニック,359-1146,埼玉県所沢市小手指南４－１３－６
医療法人　元気会　わかさクリニック,359-1151,埼玉県所沢市若狭４－２４６８－３１
新美クリニック,359-1161,埼玉県所沢市狭山ケ丘２－６４－２
医療法人　陽育会　やまもとキッズクリニック,359-1164,埼玉県所沢市三ケ島４－２２８６－１１
医療法人　清水内科,360-0012,埼玉県熊谷市上之１５６２－１
医療法人　麻葉会　あけとクリニック,360-0837,埼玉県熊谷市川原明戸５６９
医療法人　クレモナ会　ティーエムクリニック,360-0843,埼玉県熊谷市三ケ尻４８
医療法人社団　紘智会　籠原病院,360-0845,埼玉県熊谷市美土里町３－１３６
医療法人慈秀会　上尾アーバンクリニック,362-0015,埼玉県上尾市緑丘３－５－２８シンワ緑丘ビル１Ｆ
医療法人社団　順信会　上尾メディカルクリニック,362-0021,埼玉県上尾市原市３１３３
医療法人　上尾キッズクリニック,362-0046,埼玉県上尾市壱丁目４６６－４
医療法人　鯵坂医院,362-0059,埼玉県上尾市平方２６８５
医療法人社団　関口医院　上尾ふれあいクリニック,362-0059,埼玉県上尾市平方４２７７－５
あげお第一診療所,362-0064,埼玉県上尾市小敷谷８４５－１西上尾第一団地２－３８－１０２
医療法人社団　愛友会　上尾中央総合病院,362-0075,埼玉県上尾市柏座１－１０－１０
医療法人社団　伊奈ｅｎｔクリニック,362-0803,埼玉県北足立郡伊奈町大字大針８１４－１
みなみのメディカルクリニック,362-0805,埼玉県北足立郡伊奈町栄５－２５５
医療法人豊和会　桶川中央クリニック,363-0022,埼玉県桶川市若宮２－２－２２
医療法人弘仁会　遠井クリニック,364-0006,埼玉県北本市北本１－１４３
医療法人社団　群羊会　南福音診療所,364-0032,埼玉県北本市緑４－１４８
医療法人社団　はなぶさ会　いなぎｅｎｔクリニック,364-0033,埼玉県北本市本町４－２０－１
医療法人財団ヘリオス会　ヘリオス会病院,365-0005,埼玉県鴻巣市広田８２４－１
医療法人社団　わたまクリニック,365-0078,埼玉県鴻巣市加美１－６－４６
医）康仁会　上武内科クリニック,366-0022,埼玉県深谷市本田ケ谷２１０－２
白倉クリニック,366-0822,埼玉県深谷市仲町７－５
医療法人社団育辰会　昭和産婦人科,367-0041,埼玉県本庄市駅南１－５－２３
清水クリニック,367-0047,埼玉県本庄市前原１－１－１３
医療法人　柳仙会　柳田医院,369-0221,埼玉県深谷市榛沢新田８５８－２
医療法人　蒼仁会　寄居本町クリニック,369-1203,埼玉県大里郡寄居町寄居８０８－１
医療法人社団　城東会　はらしま医院,369-1221,埼玉県大里郡寄居町保田原１６３－７
仁静堂医院,370-0004,群馬県高崎市井野町１２２３
医療法人民善会　細谷たかさきクリニック,370-0036,群馬県高崎市南大類町８８８－１
医療法人　井上病院,370-0053,群馬県高崎市通町５５番地
医療法人　真木会　真木病院,370-0075,群馬県高崎市筑縄町７１－１
医療法人　和泉会　乾内科クリニック,370-0076,群馬県高崎市下小塙町１５７６番地１
松本医院,370-0811,群馬県高崎市相生町３５
吉村内科医院,370-0811,群馬県高崎市相生町５
双葉胃腸内科クリニック,370-0843,群馬県高崎市双葉町９－１６
医療法人　優仁会　こだまクリニック,370-0864,群馬県高崎市石原町３２２５
医療法人　ひらが脳神経外科,370-1124,群馬県佐波郡玉村町角渕５０６７
医療法人　樹心会　角田病院　健診センター,370-1133,群馬県佐波郡玉村町上新田６７５－４
おかじょうクリニック,370-1207,群馬県高崎市綿貫町１９１８－７
医療法人真美会　宮崎医院,370-2332,群馬県富岡市下高瀬２９８－７
須藤医院,370-2343,群馬県富岡市七日市１０８３
村田内科医院,370-2452,群馬県富岡市一ノ宮１６２－１
医療法人それいゆ会　ソレイユあさひクリニック,371-0014,群馬県前橋市朝日町１－３５－９
医療法人社団　三矢会　前橋広瀬川クリニック,371-0022,群馬県前橋市千代田町２－１０－９
医療法人社団三矢会　上毛大橋クリニック,371-0046,群馬県前橋市川原町１－４９－６
さとう内科クリニック,372-0005,群馬県伊勢崎市乾町２３３－１
一般財団法人　日本健康管理協会　伊勢崎健診プラザ,372-0822,群馬県伊勢崎市中町６５５－１
堀越医院,374-0057,群馬県館林市北成島町５１３
医療法人社団　神山内科医院,377-0008,群馬県渋川市渋川８９２－２３
医療法人社団　皆成会　中野医院,377-0008,群馬県渋川市渋川８９３－３３
医療法人誠和会　正田病院,379-0116,群馬県安中市安中１－１６－３２
櫻井内科医院,379-0135,群馬県安中市郷原１３０－５
医療法人　日望会　みどり病院,379-2313,群馬県みどり市笠懸町鹿２６４６－２
藤井クリニック,380-0862,長野県長野市桜枝町１２４４－１
医療法人　愛和会　愛和病院　健診センター,380-0904,長野県長野市鶴賀１０４４－２
公益財団法人　倉石地域振興財団　栗田病院,380-0921,長野県長野市栗田６９５
医療法人平成会　小島病院,380-0928,長野県長野市若里５－８－６
みやじま内科クリニック,381-0034,長野県長野市大字高田１２６１－２
医療法人　宮沢医院,381-0043,長野県長野市吉田２－１－２９
医療法人　みずき会　花岡内科医院,381-0043,長野県長野市吉田５－３１－４２
岡野医院,381-0208,長野県上高井郡小布施町六川１４
わたなべクリニック,381-2246,長野県長野市丹波島２－１８－１５
公益財団法人　長野県健康づくり事業団　長野健康センター診療所,381-2298,長野県長野市稲里町田牧２０６－１
医療法人公仁会　轟病院,382-0000,長野県須坂市大字須坂１２３９
佐藤医院,382-0076,長野県須坂市大字須坂１２２４－２０
佐々木医院,384-0012,長野県小諸市南町１－３－７
医療法人清秀会　甘利医院　わだ,384-0093,長野県小諸市和田８４１－７
医療法人　佐久平ファミリークリニック内科・消化器科,385-0022,長野県佐久市岩村田１３１５－１
医療法人　佐久心臓血圧クリニック,385-0022,長野県佐久市岩村田２０８０－１
フルタクリニック,385-0051,長野県佐久市中込３６１１－２０８
医療法人　杏仁堂　塚原醫院,386-0404,長野県上田市上丸子１０１８－１
山浦内科クリニック,386-0407,長野県上田市長瀬３４４１－４
医療法人　小林会　小林医院,386-2203,長野県上田市真田町傍陽５７１
医療法人　おかだクリニック,387-0021,長野県千曲市稲荷山５８０
医療法人財団大西会　千曲中央病院,387-8512,長野県千曲市大字杭瀬下５８
医療法人　学思会　東御記念セントラルクリニック,389-0517,長野県東御市県１６５－１
やまざき医院,389-0805,長野県千曲市上徳間３４６
市川内科医院,389-0821,長野県千曲市上山田温泉４丁目１１－２
池上医院,390-0811,長野県松本市中央３－５－１１
